student_id,study_hours,absences,school_support,final_grade
S0963,1.2,19,yes,12
S0964,4.2,16,yes,6
S0965,29.2,18,yes,16
S0966,0.1,1,yes,92
S0967,5.9,17,yes,97
S0968,18.2,5,no,22
S0969,1.3,0,yes,40
S0970,1.2,19,no,25
S0971,21.3,2,yes,67
S0972,5.8,9,yes,6
S0973,19.4,5,no,52
S0974,16.9,1,yes,32
S0975,22.5,7,no,59
S0976,3.9,7,yes,82
S0977,11.7,15,yes,53
S0978,20.0,18,yes,1
S0979,22.5,12,yes,77
S0980,9.5,5,no,47
S0981,19.7,5,no,30
S0982,18.8,1,yes,60
S0983,27.1,5,no,93
S0984,14.7,11,yes,81
S0985,10.4,1,yes,47
S0986,15.5,17,no,88
S0987,15.9,8,no,69
S0988,26.5,20,yes,8
S0989,1.9,19,yes,47
S0990,12.6,9,no,55
S0991,29.2,7,yes,68
S0992,9.9,7,yes,2
S0993,29.0,7,yes,74
S0994,15.5,9,yes,58
S0995,26.0,13,yes,19
S0996,3.2,0,no,19
S0997,12.1,2,yes,51
S0998,9.7,14,no,48
S0999,4.3,2,yes,71
S1000,27.4,12,no,98
